16:05:45.099 [restartedMain] INFO  c.example.runners.RunnersApplication [StartupInfoLogger.java:50] - Starting RunnersApplication using Java 17.0.7 with PID 8619 (/Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project/build/classes/java/main started by dev_june in /Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project)
16:05:45.101 [restartedMain] INFO  c.example.runners.RunnersApplication [SpringApplication.java:655] - No active profile set, falling back to 1 default profile: "default"
16:05:45.123 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [DeferredLog.java:252] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
16:05:45.123 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [DeferredLog.java:252] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
16:05:45.532 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:143] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:05:45.566 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:211] - Finished Spring Data repository scanning in 30 ms. Found 3 JPA repository interfaces.
16:05:45.969 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java:111] - Tomcat initialized with port 8080 (http)
16:05:45.974 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8080"]
16:05:45.975 [restartedMain] INFO  o.a.catalina.core.StandardService [DirectJDKLog.java:173] - Starting service [Tomcat]
16:05:45.975 [restartedMain] INFO  o.a.catalina.core.StandardEngine [DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/10.1.20]
16:05:46.001 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
16:05:46.001 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 877 ms
16:05:46.104 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper [LogHelper.java:31] - HHH000204: Processing PersistenceUnitInfo [name: default]
16:05:46.129 [restartedMain] INFO  org.hibernate.Version [Version.java:44] - HHH000412: Hibernate ORM core version 6.5.0.CR2
16:05:46.150 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator [RegionFactoryInitiator.java:50] - HHH000026: Second-level cache disabled
16:05:46.275 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo [SpringPersistenceUnitInfo.java:87] - No LoadTimeWeaver setup: ignoring JPA class transformer
16:05:46.290 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:109] - HikariPool-1 - Starting...
16:05:46.459 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool [HikariPool.java:554] - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@37e2f86b
16:05:46.460 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:122] - HikariPool-1 - Start completed.
16:05:46.495 [restartedMain] WARN  org.hibernate.orm.deprecation [DialectFactoryImpl.java:153] - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
16:05:47.038 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator [JtaPlatformInitiator.java:59] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
16:05:47.108 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [AbstractEntityManagerFactoryBean.java:437] - Initialized JPA EntityManagerFactory for persistence unit 'default'
16:05:47.516 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory [QueryEnhancerFactory.java:49] - Hibernate is in classpath; If applicable, HQL parser will be used.
16:05:47.842 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration [JpaBaseConfiguration.java:236] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
16:05:48.086 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain [DefaultSecurityFilterChain.java:54] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@27b4c01d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5ab17a69, org.springframework.security.web.context.SecurityContextHolderFilter@177a4f60, org.springframework.security.web.header.HeaderWriterFilter@7d90b80a, org.springframework.web.filter.CorsFilter@a440dc1, org.springframework.security.web.authentication.logout.LogoutFilter@5232ae23, com.example.runners.filters.JWTFilter@37fcad0d, com.example.runners.filters.LoginFilter@36c927c7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@84f9dd8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5d41691b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@67fa7145, org.springframework.security.web.session.SessionManagementFilter@a9fad88, org.springframework.security.web.access.ExceptionTranslationFilter@28b90162, org.springframework.security.web.access.intercept.AuthorizationFilter@17a8f1b7]
16:05:48.323 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer [OptionalLiveReloadServer.java:59] - LiveReload server is running on port 35729
16:05:48.344 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8080"]
16:05:48.352 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java:243] - Tomcat started on port 8080 (http) with context path '/'
16:05:48.361 [restartedMain] INFO  c.example.runners.RunnersApplication [StartupInfoLogger.java:56] - Started RunnersApplication in 3.498 seconds (process running for 3.776)
16:05:49.437 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
16:05:49.438 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet [FrameworkServlet.java:532] - Initializing Servlet 'dispatcherServlet'
16:05:49.439 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet [FrameworkServlet.java:554] - Completed initialization in 1 ms
16:07:01.496 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [AbstractEntityManagerFactoryBean.java:650] - Closing JPA EntityManagerFactory for persistence unit 'default'
16:07:01.498 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:349] - HikariPool-1 - Shutdown initiated...
16:07:01.515 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:351] - HikariPool-1 - Shutdown completed.
16:09:01.055 [restartedMain] INFO  c.example.runners.RunnersApplication [StartupInfoLogger.java:50] - Starting RunnersApplication using Java 17.0.7 with PID 8678 (/Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project/build/classes/java/main started by dev_june in /Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project)
16:09:01.057 [restartedMain] INFO  c.example.runners.RunnersApplication [SpringApplication.java:655] - No active profile set, falling back to 1 default profile: "default"
16:09:01.082 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [DeferredLog.java:252] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
16:09:01.083 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [DeferredLog.java:252] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
16:09:01.542 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:143] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:09:01.578 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:211] - Finished Spring Data repository scanning in 32 ms. Found 3 JPA repository interfaces.
16:09:01.996 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java:111] - Tomcat initialized with port 8080 (http)
16:09:02.003 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8080"]
